jahr,kw,"substr(blv_name,1,3)",player_count
2020,6,BAY,427
2020,6,BAW,421
2020,6,HES,349
2020,6,SAC,169
2020,6,RHP,153
2020,6,SAA,97
2020,6,SAH,79
2020,6,THÜ,58
2020,6,BBB,55
2020,6,SLH,45
2020,6,HAM,44
2020,6,MVP,43
2020,6,RHL,26
2020,6,BRE,23
2020,7,NRW,961
2020,7,NIS,609
2020,7,BAW,537
2020,7,BAY,429
2020,7,HES,349
2020,7,SAC,197
2020,7,RHP,153
2020,7,SAA,97
2020,7,SAH,81
2020,7,THÜ,63
2020,7,BBB,54
2020,7,SLH,45
2020,7,HAM,44
2020,7,MVP,43
2020,7,RHL,26
2020,7,BRE,26
2020,8,NRW,948
2020,8,NIS,609
2020,8,BAW,537
2020,8,BAY,451
2020,8,HES,364
2020,8,SAC,197
2020,8,RHP,159
2020,8,SAA,95
2020,8,SAH,81
2020,8,THÜ,63
2020,8,BBB,54
2020,8,SLH,45
2020,8,HAM,44
2020,8,MVP,43
2020,8,BRE,26
2020,8,RHL,25
2020,9,NRW,948
2020,9,NIS,609
2020,9,BAW,536
2020,9,BAY,453
2020,9,HES,378
2020,9,SAC,200
2020,9,RHP,159
2020,9,SAH,110
2020,9,BBB,107
2020,9,THÜ,104
2020,9,SAA,95
2020,9,SLH,45
2020,9,HAM,44
2020,9,MVP,43
2020,9,BRE,26
2020,9,RHL,25
2020,10,NRW,992
2020,10,NIS,639
2020,10,HES,570
2020,10,BAW,538
2020,10,BAY,453
2020,10,RHP,205
2020,10,SAC,200
2020,10,BBB,189
2020,10,THÜ,125
2020,10,SAH,110
2020,10,SAA,95
2020,10,SLH,45
2020,10,HAM,44
2020,10,MVP,43
2020,10,BRE,26
2020,10,RHL,25
2020,11,NRW,992
2020,11,NIS,702
2020,11,HES,570
2020,11,BAW,538
2020,11,BAY,453
2020,11,SAC,269
2020,11,RHP,205
2020,11,BBB,190
2020,11,SLH,186
2020,11,SAH,129
2020,11,THÜ,125
2020,11,SAA,95
2020,11,RHL,52
2020,11,HAM,45
2020,11,MVP,43
2020,11,BRE,26
2020,12,NRW,992
2020,12,NIS,702
2020,12,HES,570
2020,12,BAW,538
2020,12,BAY,453
2020,12,SAC,269
2020,12,RHP,205
2020,12,BBB,190
2020,12,SLH,186
2020,12,SAH,129
2020,12,THÜ,125
2020,12,SAA,95
2020,12,RHL,52
2020,12,HAM,45
2020,12,MVP,43
2020,12,BRE,26
2020,13,NRW,992
2020,13,NIS,702
2020,13,HES,570
2020,13,BAW,538
2020,13,BAY,453
2020,13,SAC,269
2020,13,RHP,205
2020,13,BBB,190
2020,13,SLH,186
2020,13,SAH,129
2020,13,THÜ,125
2020,13,SAA,95
2020,13,RHL,52
2020,13,HAM,45
2020,13,MVP,43
2020,13,BRE,26
2020,14,NRW,992
2020,14,NIS,702
2020,14,HES,570
2020,14,BAW,538
2020,14,BAY,453
2020,14,SAC,269
2020,14,RHP,205
2020,14,BBB,190
2020,14,SLH,186
2020,14,SAH,129
2020,14,THÜ,125
2020,14,SAA,95
2020,14,RHL,52
2020,14,HAM,45
2020,14,MVP,43
2020,14,BRE,26
2020,15,NRW,992
2020,15,NIS,702
2020,15,HES,570
2020,15,BAW,538
2020,15,BAY,453
2020,15,SAC,269
2020,15,RHP,205
2020,15,BBB,190
2020,15,SLH,186
2020,15,SAH,129
2020,15,THÜ,125
2020,15,SAA,95
2020,15,RHL,52
2020,15,HAM,45
2020,15,MVP,43
2020,15,BRE,26
2020,16,NRW,992
2020,16,NIS,702
2020,16,HES,570
2020,16,BAW,538
2020,16,BAY,453
2020,16,SAC,269
2020,16,RHP,205
2020,16,BBB,191
2020,16,SLH,186
2020,16,SAH,130
2020,16,THÜ,125
2020,16,SAA,95
2020,16,RHL,52
2020,16,HAM,45
2020,16,MVP,43
2020,16,BRE,26
2020,17,NRW,992
2020,17,NIS,702
2020,17,HES,570
2020,17,BAW,538
2020,17,BAY,453
2020,17,SAC,269
2020,17,RHP,205
2020,17,BBB,191
2020,17,SLH,186
2020,17,SAH,130
2020,17,THÜ,125
2020,17,SAA,95
2020,17,RHL,52
2020,17,HAM,45
2020,17,MVP,43
2020,17,BRE,26
2020,18,NRW,992
2020,18,NIS,702
2020,18,HES,570
2020,18,BAW,538
2020,18,BAY,453
2020,18,SAC,269
2020,18,RHP,205
2020,18,BBB,191
2020,18,SLH,186
2020,18,SAH,130
2020,18,THÜ,125
2020,18,SAA,95
2020,18,RHL,52
2020,18,HAM,45
2020,18,MVP,43
2020,18,BRE,26
2020,19,NRW,992
2020,19,NIS,702
2020,19,HES,570
2020,19,BAW,538
2020,19,BAY,453
2020,19,SAC,269
2020,19,RHP,205
2020,19,BBB,191
2020,19,SLH,186
2020,19,SAH,130
2020,19,THÜ,125
2020,19,SAA,95
2020,19,RHL,52
2020,19,HAM,45
2020,19,MVP,43
2020,19,BRE,26
2020,20,NRW,992
2020,20,NIS,702
2020,20,HES,570
2020,20,BAW,538
2020,20,BAY,453
2020,20,SAC,269
2020,20,RHP,205
2020,20,BBB,191
2020,20,SLH,186
2020,20,SAH,130
2020,20,THÜ,125
2020,20,SAA,95
2020,20,RHL,52
2020,20,HAM,45
2020,20,MVP,43
2020,20,BRE,26
2020,21,NRW,992
2020,21,NIS,702
2020,21,HES,570
2020,21,BAW,538
2020,21,BAY,453
2020,21,SAC,269
2020,21,RHP,205
2020,21,BBB,191
2020,21,SLH,186
2020,21,SAH,130
2020,21,THÜ,125
2020,21,SAA,95
2020,21,RHL,52
2020,21,HAM,45
2020,21,MVP,43
2020,21,BRE,26
2020,22,NRW,992
2020,22,NIS,702
2020,22,HES,570
2020,22,BAW,538
2020,22,BAY,453
2020,22,SAC,269
2020,22,RHP,205
2020,22,BBB,191
2020,22,SLH,186
2020,22,SAH,130
2020,22,THÜ,125
2020,22,SAA,95
2020,22,RHL,52
2020,22,HAM,45
2020,22,MVP,43
2020,22,BRE,26
2020,23,NRW,992
2020,23,NIS,702
2020,23,HES,570
2020,23,BAW,538
2020,23,BAY,453
2020,23,SAC,269
2020,23,RHP,205
2020,23,BBB,191
2020,23,SLH,186
2020,23,SAH,130
2020,23,THÜ,125
2020,23,SAA,95
2020,23,RHL,52
2020,23,HAM,45
2020,23,MVP,43
2020,23,BRE,26
2020,24,NRW,992
2020,24,NIS,701
2020,24,HES,571
2020,24,BAW,537
2020,24,BAY,453
2020,24,SAC,269
2020,24,RHP,205
2020,24,BBB,191
2020,24,SLH,186
2020,24,SAH,130
2020,24,THÜ,125
2020,24,SAA,95
2020,24,RHL,52
2020,24,HAM,45
2020,24,MVP,43
2020,24,BRE,26
2020,25,NRW,992
2020,25,NIS,701
2020,25,HES,571
2020,25,BAW,537
2020,25,BAY,453
2020,25,SAC,269
2020,25,RHP,205
2020,25,BBB,191
2020,25,SLH,186
2020,25,SAH,130
2020,25,THÜ,125
2020,25,SAA,95
2020,25,RHL,52
2020,25,HAM,45
2020,25,MVP,43
2020,25,BRE,26
2020,26,NRW,992
2020,26,NIS,701
2020,26,HES,571
2020,26,BAW,537
2020,26,BAY,453
2020,26,SAC,269
2020,26,RHP,205
2020,26,BBB,191
2020,26,SLH,186
2020,26,SAH,130
2020,26,THÜ,125
2020,26,SAA,95
2020,26,RHL,52
2020,26,HAM,45
2020,26,MVP,43
2020,26,BRE,26
2020,27,NRW,992
2020,27,NIS,701
2020,27,HES,571
2020,27,BAW,544
2020,27,BAY,452
2020,27,SAC,269
2020,27,RHP,205
2020,27,BBB,191
2020,27,SLH,186
2020,27,SAH,130
2020,27,THÜ,125
2020,27,SAA,94
2020,27,RHL,52
2020,27,HAM,45
2020,27,MVP,43
2020,27,BRE,26
2020,28,NRW,993
2020,28,NIS,700
2020,28,HES,571
2020,28,BAW,544
2020,28,BAY,452
2020,28,SAC,268
2020,28,RHP,205
2020,28,BBB,191
2020,28,SLH,186
2020,28,SAH,130
2020,28,THÜ,125
2020,28,SAA,94
2020,28,RHL,52
2020,28,HAM,45
2020,28,MVP,43
2020,28,BRE,26
2020,29,NRW,993
2020,29,NIS,700
2020,29,HES,571
2020,29,BAW,544
2020,29,BAY,452
2020,29,SAC,268
2020,29,RHP,205
2020,29,BBB,191
2020,29,SLH,186
2020,29,SAH,130
2020,29,THÜ,125
2020,29,SAA,94
2020,29,RHL,52
2020,29,HAM,45
2020,29,MVP,43
2020,29,BRE,26
2020,30,NRW,993
2020,30,NIS,700
2020,30,HES,571
2020,30,BAW,544
2020,30,BAY,452
2020,30,SAC,268
2020,30,RHP,205
2020,30,BBB,191
2020,30,SLH,186
2020,30,SAH,130
2020,30,THÜ,125
2020,30,SAA,94
2020,30,RHL,52
2020,30,HAM,45
2020,30,MVP,43
2020,30,BRE,26
2020,31,NRW,994
2020,31,NIS,699
2020,31,HES,571
2020,31,BAW,543
2020,31,BAY,452
2020,31,SAC,268
2020,31,RHP,206
2020,31,BBB,191
2020,31,SLH,186
2020,31,SAH,130
2020,31,THÜ,125
2020,31,SAA,94
2020,31,RHL,52
2020,31,HAM,45
2020,31,MVP,43
2020,31,BRE,26
2020,32,NRW,992
2020,32,NIS,639
2020,32,HES,569
2020,32,BAW,538
2020,32,BAY,453
2020,32,RHP,205
2020,32,SAC,200
2020,32,BBB,189
2020,32,THÜ,125
2020,32,SAH,110
2020,32,SAA,95
2020,32,SLH,45
2020,32,HAM,44
2020,32,MVP,43
2020,32,BRE,26
2020,32,RHL,25
2020,33,NRW,994
2020,33,NIS,699
2020,33,HES,571
2020,33,BAW,543
2020,33,BAY,452
2020,33,SAC,268
2020,33,RHP,206
2020,33,BBB,191
2020,33,SLH,186
2020,33,SAH,130
2020,33,THÜ,125
2020,33,SAA,94
2020,33,RHL,52
2020,33,HAM,45
2020,33,MVP,43
2020,33,BRE,26
2020,34,NRW,993
2020,34,NIS,699
2020,34,HES,571
2020,34,BAW,543
2020,34,BAY,452
2020,34,SAC,268
2020,34,RHP,206
2020,34,BBB,191
2020,34,SLH,186
2020,34,SAH,130
2020,34,THÜ,125
2020,34,SAA,94
2020,34,RHL,53
2020,34,HAM,45
2020,34,MVP,43
2020,34,BRE,26
2020,35,NRW,993
2020,35,NIS,699
2020,35,HES,571
2020,35,BAW,543
2020,35,BAY,452
2020,35,SAC,268
2020,35,RHP,206
2020,35,BBB,191
2020,35,SLH,186
2020,35,SAH,130
2020,35,THÜ,125
2020,35,SAA,94
2020,35,RHL,53
2020,35,HAM,45
2020,35,MVP,43
2020,35,BRE,26
2020,36,NRW,993
2020,36,NIS,699
2020,36,HES,571
2020,36,BAW,543
2020,36,BAY,452
2020,36,SAC,268
2020,36,RHP,206
2020,36,BBB,191
2020,36,SLH,186
2020,36,SAH,130
2020,36,THÜ,125
2020,36,SAA,95
2020,36,RHL,53
2020,36,HAM,45
2020,36,MVP,43
2020,36,BRE,26
2020,37,NRW,1090
2020,37,NIS,698
2020,37,HES,571
2020,37,BAW,543
2020,37,BAY,452
2020,37,SAC,268
2020,37,RHP,206
2020,37,BBB,191
2020,37,SLH,187
2020,37,SAH,131
2020,37,THÜ,126
2020,37,SAA,95
2020,37,RHL,53
2020,37,HAM,44
2020,37,MVP,43
2020,37,BRE,27
2020,38,NRW,1091
2020,38,NIS,698
2020,38,HES,571
2020,38,BAW,543
2020,38,BAY,473
2020,38,SAC,288
2020,38,RHP,206
2020,38,BBB,193
2020,38,SLH,187
2020,38,THÜ,133
2020,38,SAH,132
2020,38,SAA,95
2020,38,MVP,84
2020,38,RHL,53
2020,38,HAM,44
2020,38,BRE,27
2020,39,NRW,1091
2020,39,NIS,698
2020,39,BAW,572
2020,39,HES,571
2020,39,BAY,473
2020,39,SAC,308
2020,39,SLH,243
2020,39,RHP,206
2020,39,BBB,192
2020,39,THÜ,133
2020,39,SAH,132
2020,39,SAA,115
2020,39,MVP,84
2020,39,RHL,53
2020,39,HAM,44
2020,39,BRE,27
2020,40,NRW,1091
2020,40,NIS,699
2020,40,BAW,574
2020,40,HES,572
2020,40,BAY,500
2020,40,SAC,410
2020,40,SLH,276
2020,40,RHP,206
2020,40,BBB,193
2020,40,THÜ,145
2020,40,SAH,132
2020,40,SAA,115
2020,40,MVP,102
2020,40,RHL,53
2020,40,HAM,45
2020,40,BRE,27
2020,41,NRW,1145
2020,41,NIS,699
2020,41,BAW,592
2020,41,HES,572
2020,41,BAY,501
2020,41,SAC,420
2020,41,SLH,276
2020,41,RHP,206
2020,41,BBB,193
2020,41,THÜ,145
2020,41,SAH,132
2020,41,SAA,115
2020,41,MVP,102
2020,41,RHL,53
2020,41,HAM,45
2020,41,BRE,27
2020,42,NRW,1145
2020,42,NIS,699
2020,42,BAW,592
2020,42,HES,575
2020,42,BAY,509
2020,42,SAC,420
2020,42,SLH,276
2020,42,RHP,206
2020,42,BBB,193
2020,42,THÜ,145
2020,42,SAH,145
2020,42,SAA,115
2020,42,MVP,102
2020,42,RHL,53
2020,42,HAM,45
2020,42,BRE,27
2020,43,NRW,1145
2020,43,NIS,699
2020,43,BAW,619
2020,43,HES,575
2020,43,BAY,509
2020,43,SAC,428
2020,43,SLH,276
2020,43,RHP,206
2020,43,BBB,193
2020,43,THÜ,145
2020,43,SAH,145
2020,43,SAA,115
2020,43,MVP,105
2020,43,RHL,53
2020,43,HAM,45
2020,43,BRE,27
2020,44,NRW,1145
2020,44,NIS,699
2020,44,BAW,619
2020,44,HES,575
2020,44,BAY,509
2020,44,SAC,428
2020,44,SLH,276
2020,44,RHP,206
2020,44,BBB,193
2020,44,THÜ,145
2020,44,SAH,145
2020,44,SAA,115
2020,44,MVP,105
2020,44,RHL,53
2020,44,HAM,45
2020,44,BRE,27
2020,45,NRW,1145
2020,45,NIS,699
2020,45,BAW,619
2020,45,HES,575
2020,45,BAY,509
2020,45,SAC,428
2020,45,SLH,276
2020,45,RHP,206
2020,45,BBB,193
2020,45,THÜ,145
2020,45,SAH,145
2020,45,SAA,115
2020,45,MVP,105
2020,45,RHL,53
2020,45,HAM,45
2020,45,BRE,27
2020,46,NRW,1145
2020,46,NIS,699
2020,46,BAW,619
2020,46,HES,575
2020,46,BAY,509
2020,46,SAC,428
2020,46,SLH,276
2020,46,RHP,206
2020,46,BBB,193
2020,46,THÜ,145
2020,46,SAH,145
2020,46,SAA,115
2020,46,MVP,105
2020,46,RHL,53
2020,46,HAM,45
2020,46,BRE,27
2020,47,NRW,1146
2020,47,NIS,698
2020,47,BAW,619
